RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety,County,CommonName,BroadType,Latitude,Longitude
12,,,2009-08-28,2009-08-28,D,2009-08-28,NBNSYS0000039455,Abies procera,T196862,319626,186271,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,Wicklow,Noble Fir,Firs,,
13,,,2009-08-24,2009-08-24,D,2009-08-24,NBDCSYS000000011,Acacia dealbata,S725183,272544,118344,OSI,100,,"John F. Kennedy Arboretum, Co. Wexford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wexford,Silver Wattle,Acacias,,
14,,,2009-08-24,2009-08-24,D,2009-08-24,NBDCSYS000000011,Acacia dealbata,S747355,274716,135588,OSI,100,,"Pollinmounty Mill, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Silver Wattle,Acacias,,
15,,,2009-10-22,2009-10-22,D,2009-10-22,NBNSYS0000003193,Acer campestre,G700252,170076,325217,OSI,100,,"Markree House, Co. Sligo",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Sligo,Field Maple,Maples,-8.441256182584212,52.37798548255424
16,,,2009-09-11,2009-09-11,D,2009-09-11,NBNSYS0000003193,Acer campestre,H407443,240732,344380,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Kate Crane,Kate Crane,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Fermanagh,Field Maple,Maples,-7.400762457234632,52.54892811976887
17,,,2009-09-23,2009-09-23,D,2009-09-23,NBNSYS0000014410,Acer cappadocicum,W607751,160795,75193,OSI,100,,"Blarney Estate, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cork,Cappadocian Maple,Maples,,
21,,,2009-09-01,2009-09-01,D,2009-09-01,NHMSYS0020745983,Acer opalus,O213164,321380,216481,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Italian Maple,Maples,-6.1862231936233885,53.18450306439822
22,,,2009-09-15,2009-09-15,D,2009-09-15,NBNSYS0000003192,Acer platanoides,S246237,224606,123793,OSI,100,,"Newtownanner Stud, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Tipperary,Norway Maple,Maples,,
23,,,2009-08-04,2009-08-04,D,2009-08-04,NBNSYS0000003191,Acer pseudoplatanus,S921692,292170,169236,OSI,100,,"Money House, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Fallen alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Sycamore Maple,Maples,,
24,,,2009-10-14,2009-10-14,D,2009-10-14,NBNSYS0000003191,Acer pseudoplatanus,M231671,123162,267145,OSI,100,,"Ballinrobe Golf Course, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Mayo,Sycamore Maple,Maples,-9.16362867425148,53.64819820828555
25,,,2009-10-26,2009-10-26,D,2009-10-26,NBNSYS0000003191,Acer pseudoplatanus,N758757,275820,275760,OSI,100,,"Headford Golf Club, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Meath,Sycamore Maple,Maples,-6.852381971181042,53.72561652844752
27,,,2009-07-30,2009-07-30,D,2009-07-30,NBNSYS0000003191,Acer pseudoplatanus,H447169,244745,316960,OSI,100,,"Redhills House, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Sycamore Maple,Maples,-7.345460626985147,52.30240384079995
28,,,2009-08-25,2009-08-25,D,2009-08-25,NBNSYS0000003191,Acer pseudoplatanus,O165665,316520,266582,OSI,100,,"Gormanstown College, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Meath,Sycamore Maple,Maples,-6.239498566181292,53.635507206226144
29,,,2009-08-28,2009-08-28,D,2009-08-28,NBNSYS0000003191,Acer pseudoplatanus,O290066,329065,206641,OSI,100,,"Druids Glen, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Sycamore Maple,Maples,-6.075049376526147,53.094687856176684
30,,,2009-10-07,2009-10-07,D,2009-10-07,NBNSYS0000003191,Acer pseudoplatanus,N933988,293309,298827,OSI,100,,"Knockabbey Gardens, Co. Louth",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Louth,Sycamore Maple,Maples,-6.58033974194774,53.93025697221897
31,,,2009-10-13,2009-10-13,D,2009-10-13,NBNSYS0000003191,Acer pseudoplatanus,M746391,174666,239102,OSI,100,,"Clonbrock, Ballinasloe, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Galway,Sycamore Maple,Maples,-8.382608175862046,53.40166525036615
32,,,2009-07-30,2009-07-30,D,2009-07-30,NBNSYS0000003191,Acer pseudoplatanus,H210163,221070,316341,OSI,100,,"Templeport, Bawnboy, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Sycamore Maple,Maples,-7.6929136722103895,52.2984273644819
34,,,2009-07-30,2009-07-30,D,2009-07-30,NBNSYS0000003191,Acer pseudoplatanus,H384036,238400,303618,OSI,100,,"Kilmore Cathedral, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,300 - 500 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Sycamore Maple,Maples,-7.439318120143187,52.18336280779608
35,,,2009-09-24,2009-09-24,D,2009-09-24,NBNSYS0000003191,Acer pseudoplatanus,W184312,118491,31213,OSI,100,,"Castletownsend, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,0 - 50 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cork,Sycamore Maple,Maples,,
37,,,2009-07-23,2009-07-23,D,2009-07-23,NBNSYS0000003191,Acer pseudoplatanus,S823597,282300,159758,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Pollard,Fallen,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Sycamore Maple,Maples,,
39,,,2009-07-29,2009-07-29,D,2009-07-29,NBNSYS0000003191,Acer pseudoplatanus,S389957,238985,195711,OSI,100,,"St. Fintan's Tree, Mountrath, Co. Laois",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Roadside,Multi-stem,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Laois,Sycamore Maple,Maples,,
40,,,2009-09-21,2009-09-21,D,2009-09-21,NBNSYS0000042054,Acer rubrum,X045989,204524,98985,OSI,100,,"Lismore Castle, Co. Waterford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Waterford,Red Maple,Maples,,
44,,,2009-10-07,2009-10-07,D,2009-10-07,NBNSYS0000004580,Aesculus hippocastanum,N787974,278794,297450,OSI,100,,"Dun A Ri Forest Park, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Horse Chestnut,Horse Chestnuts,-6.80291216780568,53.92010390840169
45,,,2009-10-19,2009-10-19,D,2009-10-19,NBNSYS0000004580,Aesculus hippocastanum,N321615,232159,261524,OSI,100,,"Kilbixy Church, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,Horse Chestnut,Horse Chestnuts,-7.515851993819463,53.60255458021348
46,,,2009-10-06,2009-10-06,D,2009-10-06,NBNSYS0000004580,Aesculus hippocastanum,H261059,226103,305945,OSI,100,,"Killegar, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Leitrim,Horse Chestnut,Horse Chestnuts,-7.618962568024934,52.20474993620722
47,,,2009-07-27,2009-07-27,D,2009-07-27,NBNSYS0000004580,Aesculus hippocastanum,S598446,259854,144689,OSI,100,,"Kilfane House, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Colony,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Horse Chestnut,Horse Chestnuts,,
49,,,2009-10-22,2009-10-22,D,2009-10-22,NBNSYS0000004580,Aesculus hippocastanum,G845039,184550,303900,OSI,100,,"Lough Key Forest Park, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Roscommon,Horse Chestnut,Horse Chestnuts,-8.227357588145642,52.18717456177068
50,,,2009-09-04,2009-09-04,D,2009-09-04,NBNSYS0000004580,Aesculus hippocastanum,N713307,271390,230709,OSI,100,,"Drummin House, Co. Kildare",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kildare,Horse Chestnut,Horse Chestnuts,-6.930775644206688,53.32200887442331
53,,,2009-08-11,2009-08-11,D,2009-08-11,NBNSYS0000004580,Aesculus hippocastanum,T274966,327474,196658,OSI,100,,"Rossanna, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Horse Chestnut,Horse Chestnuts,,
54,,,2009-09-17,2009-09-17,D,2009-09-17,NBNSYS0000004580,Aesculus hippocastanum,M960210,196090,221057,OSI,100,,"Clonfert Cathedral, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing dead,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Galway,Horse Chestnut,Horse Chestnuts,-8.06064604537363,53.239632711320134
55,,,2009-10-13,2009-10-13,D,2009-10-13,NBNSYS0000004580,Aesculus hippocastanum,M501282,150162,228297,OSI,100,,"Caheroyan, Athenry, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,,Maiden,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Galway,Horse Chestnut,Horse Chestnuts,-8.749203343453717,53.30199037008908
56,,,2009-08-21,2009-08-21,D,2009-08-21,NBDCSYS000000012,Aesculus x carnea,S406646,240690,164686,OSI,100,,"The Square, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Red Horse Chestnut,Horse Chestnuts,,
57,,,2009-09-03,2009-09-03,D,2009-09-03,NHMSYS0000455700,Ailanthus altissima,N935375,293520,237591,OSI,100,,"St.Patrick's College, Co. Kildare",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kildare,Tree of Heaven,Tree of Heaven,-6.595721672872011,53.37963740554377
59,,,2009-09-30,2009-09-30,D,2009-09-30,NHMSYS0000455771,Alnus glutinosa,V955858,95577,85840,OSI,100,,"Reenadinna Wood, Killarney National Park, Co. Kerr",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerr,Common Alder,Alders,,
60,,,2009-10-19,2009-10-19,D,2009-10-19,NHMSYS0000455771,Alnus glutinosa,N255632,225522,263259,OSI,100,,"Legan, Co. Longford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Longford,Common Alder,Alders,-7.61540680241586,53.6181901496974
61,,,2009-10-01,2009-10-01,D,2009-10-01,NHMSYS0000455771,Alnus glutinosa,Q879126,87964,112677,OSI,100,,"Ballyseedy Wood, Tralee, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerry,Common Alder,Alders,-3.702935382366289,53.08654904445451
62,,,2009-07-27,2009-07-27,D,2009-07-27,NHMSYS0000455771,Alnus glutinosa,S601313,260183,131344,OSI,100,,"St. Mollins Well, Thomastown, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Coppice,Standing alive,Not known,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Common Alder,Alders,,
63,,,2009-09-01,2009-09-01,D,2009-09-01,NHMSYS0000456023,Araucaria araucana,O208149,320804,214946,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Arboretum,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Monkey Puzzle Tree,Monkey Puzzle,-6.1942646465004465,53.171145525649536
64,,,2009-07-24,2009-07-24,D,2009-07-24,NHMSYS0000456023,Araucaria araucana,S639362,263965,136267,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Monkey Puzzle Tree,Monkey Puzzle,,
65,,,2009-09-01,2009-09-01,D,2009-09-01,NHMSYS0000456023,Araucaria araucana,O210162,321094,216222,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Monkey Puzzle Tree,Monkey Puzzle,-6.190784036046864,53.18277514659024
66,,,2009-10-06,2009-10-06,D,2009-10-06,NHMSYS0000456023,Araucaria araucana,N099936,209918,293675,OSI,100,,"Lough Rinn Hotel, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Leitrim,Monkey Puzzle Tree,Monkey Puzzle,-7.850166937541987,53.89184017987381
67,,,2009-10-07,2009-10-07,D,2009-10-07,NHMSYS0000456023,Araucaria araucana,H829022,282929,302200,OSI,100,,"Lough Fea, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Monaghan,Monkey Puzzle Tree,Monkey Puzzle,-6.789182736014671,52.16589745048097
68,,,2009-09-15,2009-09-15,D,2009-09-15,NHMSYS0000456023,Araucaria araucana,S215222,221589,122223,OSI,100,,"Glenam House, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Tipperary,Monkey Puzzle Tree,Monkey Puzzle,,
69,,,2009-07-23,2009-07-23,D,2009-07-23,NHMSYS0000456023,Araucaria araucana,S823598,282361,159805,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Monkey Puzzle Tree,Monkey Puzzle,,
70,,,2009-10-01,2009-10-01,D,2009-10-01,NBDCSYS000000013,Araucaria heterophylla,V405773,40558,77357,OSI,100,,"Glanleam, Valentia, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerry,Norfolk Island Pine,Norfolk Island Pines,,
71,,,2009-10-22,2009-10-22,D,2009-10-22,NBNSYS0000003899,Arbutus unedo,G715336,171598,333609,OSI,100,,"Hazelwood Forest, Co. Sligo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Sligo,Strawberry Tree,Strawberry Trees,-8.41994627215819,52.453549376499936
72,,,2009-09-29,2009-09-29,D,2009-09-29,NBNSYS0000003899,Arbutus unedo,V919820,91927,82093,OSI,100,,"Tower Wood, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerry,Strawberry Tree,Strawberry Trees,,
73,,,2009-09-30,2009-09-30,D,2009-09-30,NBNSYS0000003899,Arbutus unedo,V940859,94005,85925,OSI,100,,"Reenadinna Wood, Killarney National Park, Co. Kerr",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerr,Strawberry Tree,Strawberry Trees,,
79,,,2009-08-13,2009-08-13,D,2009-08-13,NBNSYS0000003197,Buxus sempervirens,N056054,205613,205499,OSI,100,,"Birr Castle, Co. Offaly",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Avenue,Multi-stem,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Offaly,Common Box,Boxwoods,-7.917134787485374,53.09944880197803
80,,,2009-09-11,2009-09-11,D,2009-09-11,NBNSYS0000042071,Calocedrus decurrens,H721416,272176,341626,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Monaghan,Incense Cedar,Incense Cedars,-6.938540570066515,52.52142064315473
82,,,2009-10-15,2009-10-15,D,2009-10-15,NBNSYS0000003838,Carpinus betulus,M172754,117246,275479,OSI,100,,"Carra Castle, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Mayo,European Hornbeam,Hornbeams,-9.255040775086517,53.72185158147834
83,,,2009-09-25,2009-09-25,D,2009-09-25,NHMSYS0000456969,Castanea sativa,R604075,160484,107589,OSI,100,,"Doneraille Park, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cork,Sweet Chestnut,Chestnuts,,
84,,,2009-07-24,2009-07-24,D,2009-07-24,NHMSYS0000456969,Castanea sativa,S726499,272657,149901,OSI,100,,"Borris House, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Pollard,Dead,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Sweet Chestnut,Chestnuts,,
85,,,2009-10-16,2009-10-16,D,2009-10-16,NHMSYS0000456969,Castanea sativa,M933810,193365,281020,OSI,100,,"Strokestown Park, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Fallen dead,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Roscommon,Sweet Chestnut,Chestnuts,-8.1023709847296,53.77868920345722
